"Bill of Material for "
"On 2013/8/17 at 8:49:02"

"Comment","Pattern","Quantity","Components"

"","0402","22","C2, R1, R2, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22","Capacitor (Semiconductor SIM Model)"
"10u","C1206","4","C26, C27, C29, C31","Capacitor"
"ADP151AUJZ-1.5-R","UJ_5","2","U4, U5","Imported"
"ADS1298_PAG_64","PAG64","1","U1","Imported"
"ADUM1401","SOIC_W","1","U2","ADI isolation"
"ADUM1402","SOIC_W","1","U3",""
"Battery","BAT-2","1","BT1","Multicell Battery"
"Cap","0402","8","C1, C3, C4, C5, C6, C7, C8, C9","Capacitor"
"Cap","0603","2","C28, C30","Capacitor"
"Cap","1608[0603]","16","C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25","Capacitor"
"FXO-HC73","PCBComponent_1","1","Os1",""
"Header 16X2","HDR2X16","1","P10","Header, 16-Pin, Dual row"
"Header 2","HDR1X2","6","P1, P3, P4, P6, P18, P19","Header, 2-Pin"
"Header 3","HDR1X3","3","P2, P16, P17","Header, 3-Pin"
"Header 5X2","HDR2X5","1","P5","Header, 5-Pin, Dual row"
"Plug","PIN1","8","P7, P8, P9, P11, P12, P13, P14, P15","Plug"
"Res Tap","VR4","1","R3","Tapped Resistor"
